Distance,Source System,L-Pad,M-pad,P-pad,Fed,Imp,All,Ind,Target/Sources,RES/rings,URL
26.30,44 chi Draconis,,"16,577",,5,,,2,Guangul / 2,No rings,https://edtools.cc/pve?s=Guangul&a=rt
30.31,LHS 3549,10,12,10,4,,,3,Guangul / 2,No rings,https://edtools.cc/pve?s=Guangul&a=rt
51.61,Mbooni,,,"1,489",,,,1,Viracocha / 2,No rings,https://edtools.cc/pve?s=Viracocha&a=rt
54.35,LP 675-76,,"10,686","11,498",3,,3,1,LFT 945 / 2,3 rings,https://edtools.cc/pve?s=LFT+945&a=rt
54.50,Alectrona,459,318,321,3,1,,3,Viracocha / 2,No rings,https://edtools.cc/pve?s=Viracocha&a=rt
55.28,LHS 2430,"15,172",35,35,2,,3,3,Parcae / 2,2 rings,https://edtools.cc/pve?s=Parcae&a=rt
57.24,G 126-31,105,,335,3,,,4,Morta / 2,1 ring,https://edtools.cc/pve?s=Morta&a=rt
58.23,Kairos,"121,718","1,825","3,196",3,1,,3,Liburodo / 2,1 ring,https://edtools.cc/pve?s=Liburodo&a=rt
58.54,Gertrud,"3,360",,,6,,,1,Uchaluroja / 2,1 ring,https://edtools.cc/pve?s=Uchaluroja&a=rt
61.57,GD 69,,"21,534",,3,,,4,Uchaluroja / 2,1 ring,https://edtools.cc/pve?s=Uchaluroja&a=rt
62.88,LTT 16522,110,,297,4,,,3,Morta / 2,1 ring,https://edtools.cc/pve?s=Morta&a=rt
64.13,Aryak,9,12,9,4,,1,2,Millese / 2,3 rings,https://edtools.cc/pve?s=Millese&a=rt
64.57,Dagaz,,895,898,1,,2,4,LFT 945 / 2,3 rings,https://edtools.cc/pve?s=LFT+945&a=rt
64.99,Kaha'i,,"80,707","80,028",,,4,3,Parcae / 2,2 rings,https://edtools.cc/pve?s=Parcae&a=rt
65.25,LP 762-3,,8,8,4,,,3,HK Aquarii / 2,3 rings,https://edtools.cc/pve?s=HK+Aquarii&a=rt
65.52,LTT 2974,482,861,,5,,,2,Misir / 2,2 rings,https://edtools.cc/pve?s=Misir&a=rt
66.52,LP 861-12,"1,297","2,837",193,4,,1,2,Millese / 2,3 rings,https://edtools.cc/pve?s=Millese&a=rt
67.96,LTT 12058,51,"1,753","1,764",2,,,5,Misir / 2,2 rings,https://edtools.cc/pve?s=Misir&a=rt
69.93,Lambda Arae,276,"1,846",275,2,,,5,Liburodo / 2,1 ring,https://edtools.cc/pve?s=Liburodo&a=rt
72.48,LP 575-38,101,"1,838","1,852",3,,,4,Maridal / 2,2 rings,https://edtools.cc/pve?s=Maridal&a=rt
72.49,GD 1192,424,587,424,2,1,,4,HK Aquarii / 2,3 rings,https://edtools.cc/pve?s=HK+Aquarii&a=rt
72.63,NLTT 44958,834,,857,3,,1,3,Bhumatz / 3,No rings,https://edtools.cc/pve?s=Bhumatz&a=rt
73.14,LHS 3598,,604,854,5,,,2,Maridal / 2,2 rings,https://edtools.cc/pve?s=Maridal&a=rt
75.02,LTT 9821,,508,,2,1,,4,Huichi / 2,No rings,https://edtools.cc/pve?s=Huichi&a=rt
76.80,Koraik,,7,"1,304",2,,1,4,AC +26 37030 / 2,2 rings,https://edtools.cc/pve?s=AC+%2B26+37030&a=rt
77.42,Wakawal,324,,"1,743",2,,,5,Bota Ili / 2,5 rings,https://edtools.cc/pve?s=Bota+Ili&a=rt
77.43,Dangarla,"1,316",,,1,1,,5,Triton / 2,No rings,https://edtools.cc/pve?s=Triton&a=rt
79.64,Nootkenk,,"2,264","2,263",4,,,3,Bhumatz / 3,No rings,https://edtools.cc/pve?s=Bhumatz&a=rt
80.69,NLTT 21176,"1,002","8,669",231,5,,,2,HDS 1353 / 2,3 rings,https://edtools.cc/pve?s=HDS+1353&a=rt
81.40,Blati,,"1,637","1,623",3,,,4,BD+44 1710 / 2,No rings,https://edtools.cc/pve?s=BD%2B44+1710&a=rt
81.42,Maghirvii,,"1,025","1,027",4,,,3,BD+44 1710 / 2,No rings,https://edtools.cc/pve?s=BD%2B44+1710&a=rt
81.53,LP 377-78,121,"58,684",122,1,,3,3,LP 376-62 / 2,3 rings,https://edtools.cc/pve?s=LP+376-62&a=rt
81.54,LHS 538,748,,787,4,,,3,Huichi / 2,No rings,https://edtools.cc/pve?s=Huichi&a=rt
81.92,Lethe,,"2,672","1,859",1,3,,3,Triton / 2,No rings,https://edtools.cc/pve?s=Triton&a=rt
82.29,Thethys,499,,501,2,1,,4,Belach / 2,1 ring,https://edtools.cc/pve?s=Belach&a=rt
82.50,Meminii,,13,13,1,,3,3,HDS 1353 / 2,3 rings,https://edtools.cc/pve?s=HDS+1353&a=rt
83.41,Ethli,,"1,656","1,150",4,,,3,Bota Ili / 2,5 rings,https://edtools.cc/pve?s=Bota+Ili&a=rt
83.65,Wolf 10,,"1,201","1,213",4,,,3,Ross 310 / 2,2 rings,https://edtools.cc/pve?s=Ross+310&a=rt
83.85,Agwe,"12,808","1,729","1,736",2,,2,3,Wadjuk / 2,1 ring,https://edtools.cc/pve?s=Wadjuk&a=rt
84.98,Yera,,"9,745",,2,4,,1,Palis / 2,2 rings,https://edtools.cc/pve?s=Palis&a=rt
85.61,Furuhjelm II-432,,666,"2,097",4,,,3,LP 254-40 / 2,No rings,https://edtools.cc/pve?s=LP+254-40&a=rt
85.73,Maheou Ti,252,342,252,3,,,4,Amahu / 2,No rings,https://edtools.cc/pve?s=Amahu&a=rt
85.79,G 167-35,"13,493",,,1,,3,3,AC +26 37030 / 2,2 rings,https://edtools.cc/pve?s=AC+%2B26+37030&a=rt
86.65,BD+55 1142,"1,843","1,813","2,607",3,,,4,Sairre / 2,No rings,https://edtools.cc/pve?s=Sairre&a=rt
86.85,Venux,"1,279",,879,1,1,,5,Palis / 2,2 rings,https://edtools.cc/pve?s=Palis&a=rt
87.06,Beetrix,436,"1,750",782,4,,,4,Marson / 2,No rings,https://edtools.cc/pve?s=Marson&a=rt
87.41,Wolf 1414,,"1,388","1,387",3,,,4,Bhumatz / 3,No rings,https://edtools.cc/pve?s=Bhumatz&a=rt
87.93,Hedeinichs,"1,740",,92,1,,,6,Belach / 2,1 ring,https://edtools.cc/pve?s=Belach&a=rt
88.34,Nima,58,57,59,4,,,3,LP 254-40 / 2,No rings,https://edtools.cc/pve?s=LP+254-40&a=rt
88.66,Juan,"1,051",,"1,038",3,,,4,Bagalis / 2,1 ring,https://edtools.cc/pve?s=Bagalis&a=rt
88.73,Wolf 412,280,39,71,2,,1,4,LP 376-62 / 2,3 rings,https://edtools.cc/pve?s=LP+376-62&a=rt
89.21,LTT 982,"1,941",,"1,941",,5,,2,Chimechilo / 2,No rings,https://edtools.cc/pve?s=Chimechilo&a=rt
